Scrippt Name (Diagnosis),Pediatric/Adult,Category,Pathophysiology,Epidemiology,Signs/Symptoms,Diagnostics,Treatments,Links,Image URL
B-Thalassemia,Both,Hem/Onc,"Defective production of heme beta-globin chain, chronic iron overload",More prevalent in patients of Mediterranean descents with variants have either one or two defective alleles,"Fatigue. dyspnea. tachycardia, pallor, jaundice, irritability, slow growth
","Decreased MCV, increased reticulocyte count, increased hemoglobin, decreased oxygen releasing ability (Bart's), increased hemoglobin A2 or F ","Usually asymptomatic, requires treatment in periods of stress, folate supplements, transfusion, iron chelation","microcytic anemia, hemolysis, and splenomegaly",https://external-content.duckduckgo.com/iu/?u=https%3A%2F%2Ftse4.mm.bing.net%2Fth%3Fid%3DOIP.wUJ6OIe0yz_Xr88nTAPlqQHaFT%26pid%3DApi&f=1
Sickle cell disease,Adult,Hem/Onc,Defect of Hgb beta-globin chain leading to abnormal HbS characterized by sickle-shaped RBCs which undergo hemolysis under low oxygen ,"Autosomal recessive, common in African heritage","Sickle cell crisis:  deep bone pain, chest pain, new stroke onset,  priapism, growth retardation, splenomegaly, jaundice","Decreased Hct,  increased polymorphonuclear (PMN) cells, Hgb S without normal Hgb A; Hgb F may be increased, Radiology: “codfish” vertebrae; lung infiltrates in acute chest syndrome. Blood smear: Sickle shaped RBCs ","Hydration, supplemental O2, and analgesics, hydroxyurea, Transfusion, stem cell transplant",https://www.aafp.org/afp/2015/1215/p1069.html,
von Willebrand disease,Both,Hem/Onc,Hereditary condition with deficiencies of von Willebrand factor (vWF) or sometimes factor VIII leading to abnormal clotting and platelet function,Autosomal dominant condition affecting 1% population of the world women>men,"Easy bruising, mucosal bleeding (nose, gums), menorrhagia","Increased PTT, increased bleeding time, decreased factor VIII antigen,
decreased vWF antigen, decreased ristocetin cofactor activity","Desmopressin during minor bleeding, vWF concentrate and
factor VIII concentrate before surgery or during major bleeding, avoidance of aspirin (ASA)",,
Disseminated intravascular coagulation,Adult,Hem/Onc,"Widespread abnormal coagulation caused by sepsis, severe trauma, neoplasm,, clotting factor deficiencies or obstetric complications
 ","Occur in 30-50% of patients with sepsis, Risk factors: Blood transfusion reaction. cancer, pancreatitis","Hematemesis,  jaundice, digital cyanosis, hypotension, neurologic or renal insufficiency signs, shock
","Decreased platelets, increased PT, increased PTT, decreased fibrinogen,
increased fibrin split products, increased D-dimer 
","Treat underlying cause,  platelets, FFP, cryoprecipitate; heparin
",https://www.youtube.com/watch?v=Gmh01S0msfY,https://external-content.duckduckgo.com/iu/?u=https%3A%2F%2Ftse1.mm.bing.net%2Fth%3Fid%3DOIP.secaf_FQQo2_N_yK_WPb-QHaE2%26pid%3DApi&f=1
Multiple Myeloma,Adult,Hem/Onc,"Malignant proliferation of plasma cells
",Increased incidence with prior monoclonal gammopathy of undetermined significance (MGUS),"Back pain, radicular pain, weakness, fatigue, weight loss, constipation,
pathologic fractures, frequent infections; pallor, bone tenderness","Decreased Hgb, decreased WBCs, increased blood urea nitrogen (BUN) and creatinine, increased Ca21,  high M protein and Bence Jones proteins; bone marrow biopsy shows increased plasma cells, “punched-out” lesions in long bones and skull","Radiation, chemotherapy, bone marrow transplant, repair of fractures,
treat infections",https://www.aafp.org/pubs/afp/issues/2017/0315/p373.html,https://www.aafp.org/content/dam/brand/aafp/pubs/afp/issues/2017/0315/p373-f1.jpg
Hodgkin lymphoma,Adult,Hem/Onc,Increased proliferation of B-lymphocytes,"Bimodal age distribution (peaks at 20 and 65 yr of age),
","Painless lymphadenopathy (neck), weight loss,
pruritus, night sweats, fever, hepatosplenomegaly",Lymph node biopsy shows Reed-Sternberg cells ,"Radiation, chemotherapy",https://www.youtube.com/watch?v=2I4GsJbJHSM,
Non-Hodgkin lymphoma,Adult,Hem/Onc,"Proliferation of Lymphocytes, commonly B cells or natural killer cells.","Incidence 1 in 41, common in women than men, Risk factors: EBV, HIV, congenital immunodeficiencies, rheumatic
disease","Painless lymphadenopathy (generalized), weight loss, fever,
night sweats","Lymph node or bone marrow biopsy: lymphocyte
proliferation (cleaved cells seen in follicular small cell
variant)","Palliative radiation, chemotherapy",https://www.ncbi.nlm.nih.gov/books/NBK559328/,
Acute Lymphocytic Leukemia,Adult,Hem/Onc, Proliferation of cells of lymphoid origin (lymphocytes),Most common in children (2 to 5 years of age); whites . blacks,"Bone pain, frequent infections, fatigue, dyspnea on exertion, easy
bruising; fever, pallor, purpura, hepatosplenomegaly, lymphadenopathy","Decreased Hgb, decreased platelets and WBCs, increased uric acid, increased LDH; bone marrow biopsy: abundant blasts; Philadelphia chromosome (i.e., translocation of chromosomes 9 and 22 in BCR-ABL genes) ","Chemotherapy, bone marrow transplant","https://www.ncbi.nlm.nih.gov/books/NBK459149/,  https://www.youtube.com/watch?v=IN2MtisTzC0",https://upload.wikimedia.org/wikipedia/commons/0/0e/Acute_leukemia-ALL.jpg
Acute Myelogenous leukemia,Adult,Hem/Onc,Proliferation of myeloid cells,Both adults and children are affected,"Easy bruising, oral petechiae, frequent infections, arthralgias; fever,  hepatosplenomegaly, mucosal bleeding, ocular hemorrhages","Decreased Hgb, decreased platelets, decreased WBCs; bone marrow biopsy: blast cells  of myeloid origin, Blood smear: large myeloblasts with notched nuclei and Auer rods 
","Chemotherapy, bone marrow transplant",https://www.youtube.com/watch?v=bNlnYvjhxAU,https://nci-media.cancer.gov/pdq/media/images/755927-750.jpg
Chronic lymphocytic leukemia,Adult,Hem/Onc,Malignant transformation of lymphoid cells (mature B-cells) involving bloodstream and bone marrow,"In patients with >65 years of age, worldwide incidence < 1 and 5.5 per 100,000","Frequent infection (secondary to no plasma cells), night sweats;
fevers, lymphadenopathy, hepatosplenomegaly","Increased WBCs (may be .100,000/mL); bone marrow:
lymphocyte infiltration, numerous small lymphocytes, smudge cells","Supportive therapy, chemotherapy, radiation for bulky lymphoid
masses, splenectomy ",https://onlinelibrary.wiley.com/doi/10.1002/ajh.25595,
Hemolytic Disease of the Newborn,Pediatric,Hem/Onc,"Rh incompatibility disorder caused by different Rh factors of mother and the fetus resulting in RBC hemolysis in newborn

","Incidence is 3-80 in 100,000, Risk factors: Rh2 mother with any history of fetal–maternal hemorrhage

","Pale skin. yellowing of the amniotic fluid, umbilical cord, jaundice
Hepatosplenomegaly. severe swelling of the body (hydrop fetalis)","Rh positive antibodies in  blood. Ultrasound.: enlarged organs or fluid buildup in baby. Amniocentesis, Percutaneous umbilical cord blood sampling.","Administration of Rho(D) immune globulin (RhoGAM) within 72 hr
of delivery of initial Rh1 fetus ",https://www.ncbi.nlm.nih.gov/books/NBK2266/,https://upload.wikimedia.org/wikipedia/commons/c/ce/1910_Erythroblastosis_Fetalis.jpg
Fanconi anemia,Pediatric,Hem/Onc,"Disorder of bone marrow resulting in pancytopenia, increased risk of leukemia","Autosomal recessive, incidence 1 in 160,000 worldwide, common in Ashkenazi Jewish descent, the Roma population of Spain, and Black South Africans","Frequent infections, short stature, café-au-lait spots on skin 
(hypopigmented areas), horseshoe kidney, and thumb abnormalities","Decreased Hgb, platelets, and WBCs; increased serum a-Fetoprotein;bone marrow biopsy: hypocellularity,","Antibiotics, transfusions, bone marrow/stem cell transplant, hematopoietic growth factors; androgens and corticosteroids",https://www.nature.com/articles/nrm.2016.48,
Diamond-Blackfan anemia,Pediatric,Hem/Onc,Congenital RBC anemia due to a defect in erythroid progenitor cells,Approximately 5-7 people per million live births/year,"Craniofacial abnormalities, thumb abnormalities, heart murmurs, mental retardation, hypogonadism","Decreased Hgb, increased MCV; bone marrow biopsy: decreased activity but increased presence of erythropoietin","Transfusions, corticosteroids, bone marrow transplant",https://www.youtube.com/watch?v=yuGwQXMfAaQ,
Neuroblastoma,Pediatric,Hem/Onc,Most common extracranial childhood tumor of Neural crest cell origin affecting adrenal glands or sympathetic ganglia,"Incidence is 1 in 7000, Risk factors: neurofibromatosis, tuberous sclerosis, pheochromocytoma, low maternal folate consumption","Abdominal distention and pain, weight loss, bone pain, diarrhea;
abdominal mass, possible Horner syndrome, proptosis,  periorbital bruising","Increased vanillylmandelic and homovanillic acids in 24-hr urine
collection, Radiology: CT may locate adrenal or ganglion tumor","Surgical resection, chemotherapy, radiation",https://www.sciencedirect.com/topics/neuroscience/neuroblastoma,https://imagebank.hematology.org/getimagebyid/62437?size=3
Rhabdomyosarcoma,Pediatric,Hem/Onc,Tumor of striated muscle in children,"Most common soft tissue tumors, children < 10",Painful soft tissue mass with swelling; compression of the adjacent structures by large tumors,"Biopsy is diagnostic, Radiology: CT or MRI for the extent of tumor","Surgical debulking, radiation, chemotherapy",https://www.nature.com/articles/s41572-018-0051-2,
Menopause,Adult,OB/GYN,"Permanent end of menstruation because of ceasing of ovarian function in later middle age (51.5 years)
", naturally occurs in women between 49 to 52 of age,"Hot flashes, breast pain, menstrual irregularity with eventual amenorrhea, menorrhagia, irritability, depression, dyspareunia ","Increased FSH, increased LH, decreased estradiol","Lubricating agents to treat dyspareunia, Calcium, vitamin D, bisphosphonates, and exercise to prevent osteoporosis, raloxifene and tamoxifen


",https://www.wikidoc.org/index.php/Menopause_epidemiology_and_demographics,
Amenorrhea,Adult,OB/GYN,"Absence of menstruation
","Prevalence is 3,000-4,000/100,000 individuals ",secondary: > six months without menses,"Tanner stages, b-hCG test, Thyroid studies, FSH and LH levels ","treat the underlying cause
",https://www.aafp.org/afp/2013/0601/p781.html,
Premenstrual syndrome,Adult,OB/GYN,"Syndrome in women with normal functioning ovaries that precede menses, are characterized by multiple pain, mood, and autonomic symptoms",5% to 10% of women have severe symptoms that interfere with daily life.,"Weight gain, abdominal or pelvic pain,  change in bowel habits, food cravings, mood lability, depression
",History and clinical examination,"Exercise, vitamin B6, NSAIDs, OCPs, progestins, SSRIs  ",https://www.ncbi.nlm.nih.gov/books/NBK279264/,
Endometriosis,Adult,OB/GYN,"Presence of endometrial tissue outside the uterus 

","Risk factors: family history, infertility, nulliparity, low body mass index","Dysmenorrhea, dyspareunia, dyschezia, pelvic pain, uterine or adnexal tenderness","Biopsy shows endometrial tissue; b-hCG to rule out pregnancy, CA-125 marker increased, laparoscopy show “powder-burn” lesions and cysts ","OCPs, progestins, danazol, or GnRH agonists may supply symptomatic relief, Laparoscopic ablation, hysterectomy",,
Abnormal uterine bleeding,Adult,OB/GYN,Irregular and excessive menstruation,10% to 30% among women of reproductive age.,"Uterine bleeding that does not follow a usual menstrual cycle, abdominal pain, vaginal discharge, acne, bleeding at the site","b-hCG used to rule out pregnancy, (CBC), coagulation studies, TSH, FSH, and LH are used, Papanicolaou (Pap) smear and endometrial biopsy used to rule out cancer, US for uterine lesions","Treat underlying disorder, OCPs, Endometrial ablation ",https://www.aafp.org/afp/2012/0101/p35.html,
Polycystic ovary syndrome,Adult,OB/GYN,"Hypothalamic-pituitary disease characterized by anovulation
",Up to 10% of women are diagnosed with PCOS,"Obesity, Hirsutism: excess growth of facial, chest, and abdominal hair, Acne, amenorrhea, oligomenorrhea, Bilateral ovarian enlargement on bimanual examination","Increased LH, LH:FSH ratio, increased DHEA, increased total testosterone; positive progestin challenge, US shows enlarged ovaries with multiple cysts","Exercise and weight loss, OCPs, Spironolactone, Clomiphene, Metformin, Antibiotics as needed for acne",https://academic.oup.com/edrv/article/36/5/487/2354671,
Vaginitis,Adult,OB/GYN,"Vaginal infection caused by overgrowth of normal bacteria  protozoans, fungus","Risk factors: DM, HIV, unprotected sex,, young age at first intercourse, douching, intrauterine device (IUD) use, smoking","vaginal irritation or pruritus, vaginal discharge; examination detects vaginal inflammation ","Wet mount with saline or potassium hydroxide (KOH) and vaginal pH testing, “whiff test”","Metronidazole, clindamycin, fluconazole",https://www.aafp.org/afp/2018/0301/p321.html,
Toxic shock syndrome,Adult,OB/GYN,"Severe systemic reaction to Staphylococcus aureus exotoxin associated with prolonged tampon use, prolonged intravaginal, etc",Infants and the elderly are at highest risk,"Sore throat, macular rash; hypotension, shock, respiratory distress, 
and palmoplantar desquamation","Culture shows S. aureus; decreased platelets, increased ALT and AST, and increased (BUN) and creatinine ","Remove tampon/ intravaginal objects, Supportive care for hypotension, Clindamycin or penicillinase-resistant b-lactam antibiotics, vancomycin r","https://www.aafp.org/afp/2010/1001/p773.html
https://www.ncbi.nlm.nih.gov/books/NBK459345/",
Cervicitis,Adult,OB/GYN,Infection of cervical columnar epithelium caused by Neisseria gonorrhoeae or Chlamydia trachomatis,,"Asymptomatic, Dyspareunia, bleeding after intercourse, purulent vaginal discharge, Urethritis, inflammation of cervix ","Gram stain  shows gram-negative diplococci with N. gonorrhoeae, Culture on Thayer-Martin agar detects N. gonorrhoeae, 
","Ceftriaxone, doxycycline or azithromycin",,
Pelvic inflammatory disease,Adult,OB/GYN,"Progressive N. gonorrhoeae or Chlamydia infection resulting in involvement of ovaries, uterus, fallopian tubes, or peritoneal cavity

Risk factors: multiple sexual partners, unprotected intercourse, prior PID, douching, young age at first intercourse","An estimated 750,000 new cases occur annually.
Risk factors: multiple sexual partners, unprotected intercourse, prior PID, douching, young age at first intercourse","Lower abdominal pain, dysuria; purulent cervical discharge, adnexal tenderness, abdominal guarding","Pregnancy test to rule out ectopic pregnancy, Increased WBC and ESR, Culdocentesis yields pus. transvaginal US detect inflamed and enlarged uterus, laparoscopy ","Empiric antibiotics, treat as an inpatient if high fevers or young age; treat sexual partners
","https://www.aafp.org/afp/2019/0915/p357.html
https://www.youtube.com/watch?v=lFVzsAKRIFo",
Syphilis,Adult,OB/GYN,Disease caused by the spirochete Treponema pallidum (only transmitted by sexual contact or vertical transmission),"15.6 cases per 100,000 males and 1.9 cases per 100,000 females","Solitary chancre, maculopapular rash on palms and soles, 
lArgyll-Robertson pupils","VDRL and RPR are 80% sensitive screening tests, FTA-ABS or MHA-TP used to confirm diagnosis, Spirochetes may be seen with dark-field microscopy 
","Penicillin G, doxycycline, or tetracycline; IV penicillin G used in 
severe tertiary cases",https://www.aafp.org/afp/2003/0715/p283.html,
Human papilloma virus (HPV),Adult,OB/GYN,Several types of papillomavirus (<100) that may be associated with genital warts (types 6 and 11) or cervical cancer (types 16 or 18 in 70% of cases),6.2 million new HPV infections occur every year in the United States,Small pink papules at site of contact; Warts on genital region,"An abnormal Pap smear should prompt HPV testing and colposcopy for lesions, acetic acid to lesions will turn them white, Biopsy determine virus type 
","Podophyllin, trichloroacetic acid, topical 5-fluorouracil, a-interferon 
injection of large lesions, cryotherapy, or laser therapy;  vaccine",https://www.aafp.org/afp/2021/0800/p152.html,
Lymphogranuloma venereum,Adult,OB/GYN,"Disease caused by L-1, L-2, or L-3 serotypes of C. trachomatis ", more common in developing nations,"Formation of papule at site of contact that becomes painless ulcer, inguinal buboes develop, progress to bubo ulceration, elephantiasis  fistula formation, abscess formation",Immunoassays for Chlamydia for diagnosis,"Tetracycline, erythromycin, or doxycycline",https://www.ncbi.nlm.nih.gov/books/NBK537362/,
Uterine leiomyoma,Adult,OB/GYN,"Benign uterine masses composed of smooth muscle
","Risk factors: nulliparity, African-American heritage, a diet high in meats, alcohol,consumption, family history","Asymptomatic, menorrhagia, pelvic pain, urinary frequency","Palpable mass on examination, transvaginal US or hysteroscopy to visualize mass","GnRH agonists, Myomectomy, Hysterectomy, Uterine artery embolization 
",https://www.ncbi.nlm.nih.gov/pmc/articles/PMC3343067/,
Endometrial cancer,Adult,OB/GYN,Adenocarcinoma of uterine tissue most commonly related to exposure to high estrogen levels; ,"Most common in postmenopausal women
Risk factors: PCOS, obesity, nulliparity, DM, HTN, increased age (postmenopausal), high-fat diet, colon cancer ","Heavy menses, midcycle bleeding, or postmenopausal bleeding 
","Endometrial biopsy, increased CA-125 tumor marker, CXR/CT  used to detect metastases; transvaginal US to detect masses","Total abdominal hysterectomy with bilateral salpingo-oophorectomy (TAH-BSO), Chemotherapy, Hormone therapy (e.g., progesterone, tamoxifen) ",https://www.youtube.com/watch?v=CJZr9_LATgQ,
Cervical cancer,Both,OB/GYN,"Squamous cell cancer (80% cases), adenocarcinoma (15% cases), or mixed adenosquamous carcinoma (5% cases) of the cervix that results from progression of cervical dysplasia
","risk factors: early first intercourse, HPV 16:18 are high risk","Vaginal bleeding, pelvic pain, or cervical discharge; cervical mass 
","Punch biopsy of visible lesions; cone biopsy determines invasion extent, CT/MRI/US useful to measure extent of disease","Chemotherapy, radiotherapy, supportive therapy, hysterectomy,
","https://www.aafp.org/afp/2018/0401/p449.html
https://www.aafp.org/afp/2021/0900/p314.html
https://www.youtube.com/watch?v=5KEAnfLj1pE",
Ovarian cancer,Adult,OB/GYN,"Cancer of ovaries most commonly of epithelial (65% cases) or germ cell (25% cases) origin
","Risk factors: family history, infertility, nulliparity, BRCA1 or BRCA2 gene mutations","Usually asymptomatic, Abdominal pain, fatigue, weight loss, change in bowel habits, menstrual irregularity; ascites","increased CA-125, a-fetoprotein, hCG, LDH, US used to detect mass; MRI or CT useful to determine the extent of involvement","TAH/BSO, adjuvant chemotherapy, tumor debulking, oophorectomy",https://www.aafp.org/afp/2016/0601/p937.html,
Fibroadenoma,Adult,OB/GYN,Most common benign breast tumor ,"More common in women, 30 years of age","Solitary, solid, and mobile mass with well-defined edges; size may vary during menstrual cycle","Biopsy (FNA or open) confirms benign nature, US, mammogram/MRI for the location of mass",Surgical excision or US-guided cryotherapy,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC3706050/,
Gestational diabetes mellitus ,Adult,OB/GYN,"New onset glucose intolerance that begins during pregnancy (after 24 weeks)
","Risk factors: family history of DM, obesity, prior polyhydramnios, recurrent abortions, African or Pacific Islander heritage, 
",usually asymptomatic,Fasting glucose >126 mg/dL or abnormal glucose tolerance test performed at 24 to 28 weeks’ gestation,"Strict glucose control through diet and exercise, Insulin, 
C-section for macrosomic babies.","https://www.aafp.org/afp/2015/0401/p460.html
https://www.youtube.com/watch?v=vKA4_28UFqM",
Preeclampsia,Adult,OB/GYN,"Pregnancy-induced HTN with proteinuria and edema 
","In 5% of pregnancies owing to an unknown cause, Risk factors: HTN, nulliparity, prior history of preeclampsia, multiple gestation, vascular disease, African-American ancestry","Edema in hands and face, rapid weight gain, epigastric abdominal 
pain, visual disturbances, hyperreflexia, Blood pressure >140/90 mm "," Urinalysis shows proteinuria, Decreased platelets, normal/increased creatinine, increased ALT and AST, decreased GFR
","If a near term, induce delivery, antiHTN, MgSO4, Ca channel blockers


",https://coreem.net/core/preeclampsia-and-eclampsia/,
Eclampsia,Adult,OB/GYN,Progression of preeclampsia leading to maternal seizures that can be severe and fatal for both mother and child if untreated,Global incidence of preeclampsia is 5-14% ,"Headaches, scotomata, upper abdominal pain, seizures","Elevated Blood pressure, proteinuria, low platelet count, elevated PT and aPTT","Labor should be induced, Use MgSO4 and IV diazepam to control seizures., Stabilize patient with O2, antihypertensive, 
",https://coreem.net/core/preeclampsia-and-eclampsia/,
Intrauterine growth restriction,Adult,OB/GYN,"Fetal growth that lags behind gestational age (10th percentile)
",second leading cause of perinatal morbidity and mortality,"Fundal height is at least 3 cm smaller than expected, the US shows growth ratios to be asymmetric, Doppler US show decreased fetal, umbilical, or maternal blood flow.",Ultrasound with or without doppler,"Fetal growth should be monitored, Nutritional supplementation, maternal O2 therapy, and maternal bed rest, induced labor, Maternal antenatal corticosteroids ",https://www.aafp.org/afp/1998/0801/p453.html,
Premature rupture of membranes,Adult,OB/GYN,"Spontaneous rupture of amniotic sac with spillage of amniotic fluid before onset of labor
","Risk factors: vaginal or cervical infection, cervical incompetence, poor maternal nutrition",Loss of amniotic fluid from vagina; amniotic fluid may be seen pooling in vagina on visual examination,"“ferning” of amniotic fluid; vaginal fluid will turn nitrazine paper blue in presence of amniotic 
fluid; Radiology: the US confirms oligohydramnios and assess volume 
of residual amniotic fluid and fetal position","Give corticosteroids for fetal lung maturation and prophylactic antibiotics, induce labor 


",https://www.aafp.org/afp/2008/0115/p245a.html,
Placenta previa,Adult,OB/GYN,Implantation of placenta near cervical os frequently associated with vaginal bleeding.,"Risk factors: multiparity, increased maternal age, prior 
placenta previa, prior C-section,  uterine fibroids, history of abortion, smoking","Painless vaginal bleeding in third trimester 
",Radiology: US determines location of placenta ,"Bed rest, maternal and fetal monitoring; Rho(D) immune globulin 
to Rh-negative mother, Tocolytics",,
Cellulitis,Both,Dermatology,Acute skin infection most frequently caused by Staphylococcus aureus or group A streptococci or MRSA,"Risk factors: I/V drug use, DM, Immunosuppression, previous cellulitis, venous or lymphatic dysfunction","Erythema, swollen and painful skin, myalgias, chills; warmth in involved area, lymphadenopathy","Increased WBC, ESR and CRP","oral cephalosporins or penicillinase-resistant b-lactams for 10 to 
14 days; intravenous (IV) antibiotics for severe cases or bacteremia; linezolid or 
IV vancomycin used for MRSA or cases not responding to initial antibiotic therapy; 
diabetics should receive broad coverage antibiotics because of the increased risk for 
multiorganism infections",,
Necrotizing fasciitis,Both,Dermatology,Streptococcus A or multi pathogen infection of fascial planes leading to extensive soft tissue destruction and systemic infection,"Adults incidence 0.40 cases per 100,000 people/year","Erythematous, warm, swollen skin; hypoaesthesia of involved tissue, crepitus in infected skin, purple discoloration, bullae ","Increased WBC, ESR, and CRP; culture sensitivity test, 
X-ray/CT may detect subcutaneous collections of air","Surgical debridement, incision, and drainage; IV antibiotics
",,
Impetigo,Both,Dermatology,Poststreptococcal and poststaphylococcal skin infection ,2.8 percent in children up to four years of age and 1.6 percent among children five to 15 years of age,"Facial pruritus; yellow crusted lesions around mucocutaneous surfaces; blisters, erythematous pustules on face and extremities ","History and clinical examination, gram stain, culture and sensitivity, Anti-DNA-ase B Test","Maintain hygiene, oral or topical antibiotics, limit the spread",https://www.aafp.org/afp/2007/0315/p859.html,
